name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
alexandria virgina,6/3/2023,27.3,11.6,20.3,26.7,11.6,20.1,4.4,38.3,0,0,0,,0,0,13,15.7,274.3,1015.8,7.8,16,258.5,22.4,8,10,4:54:46,20:41:27,0.5,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/4/2023,29.3,12.9,21.9,27.7,12.9,21.5,6.2,40,0,0,0,,0,0,31.7,18.9,259.7,1014.6,12.8,16,259.6,22.3,8,10,4:54:14,20:42:18,0.52,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/5/2023,29.2,13.4,22,27.5,13.4,21.5,4.3,36.2,0,0,0,,0,0,33.1,18.9,256,1013.1,16.7,16,247.3,21.4,7,10,4:53:45,20:43:07,0.56,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,F4008,KSFF,KGEG,KSKA"
alexandria virgina,6/6/2023,30,11.6,21.5,28.1,11.6,21,1.9,31.9,0,0,0,,0,0,16.6,13.1,348.4,1011,12.7,16,264.5,22.7,8,10,4:53:18,20:43:54,0.59,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/7/2023,32.3,14.8,23.8,30.1,14.8,23,4.8,32.1,0,0,0,,0,0,13,12.6,297.7,1008.3,41.9,16,254.1,21.7,8,10,4:52:54,20:44:39,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,F7574,72785024157,KGEG,KSKA"
alexandria virgina,6/8/2023,29.6,17.3,21,28.6,17.3,20.9,12.6,62.4,5.984,100,16.67,rain,0,0,57.2,24.8,23.5,1010.3,58.8,15.2,118.4,10.1,6,10,4:52:32,20:45:23,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/9/2023,22,16.9,18.7,22,16.9,18.7,15.8,84.1,4.504,100,29.17,rain,0,0,16.6,13,179.5,1012,93,13.7,93.3,8,4,10,4:52:13,20:46:04,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/10/2023,22.4,15.1,18.1,22.4,15.1,18.1,12.2,69.9,0.028,100,4.17,rain,0,0,18.4,10.2,193.8,1013.9,78.8,16,114,9.8,5,10,4:51:56,20:46:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/11/2023,26.8,13.3,20.2,26.7,13.3,20.2,12.2,63,0,0,0,,0,0,13,8.8,22.3,1012.3,41.4,16,241.7,20.9,8,10,4:51:42,20:47:19,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
alexandria virgina,6/12/2023,31.1,16.6,23.2,29.8,16.6,23,13.7,58.3,0.592,100,8.33,rain,0,0,29.5,16.5,32.8,1011.1,41.4,16,209.8,18.3,7,30,4:51:31,20:47:54,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
