danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,neg,neu,pos
0.418,0.794,11,-4.973,1,0.0816,0.08,0.0,0.329,0.178,129.434,241846,4,0.199,0.584,0.216
0.418,0.794,11,-4.973,1,0.0816,0.08,0.0,0.329,0.178,129.434,241846,4,0.199,0.584,0.216
0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,278180,4,0.038,0.836,0.125
0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,278180,4,0.038,0.836,0.125
0.424,0.606,6,-6.062,0,0.159,0.106,0.000272,0.144,0.397,213.788,342244,4,,,
0.424,0.606,6,-6.062,0,0.159,0.106,0.000272,0.144,0.397,213.788,342244,4,,,
0.688,0.425,4,-8.134,0,0.027,0.748,0.00548,0.101,0.179,129.975,144000,4,,,
0.688,0.425,4,-8.134,0,0.027,0.748,0.00548,0.101,0.179,129.975,144000,4,,,
0.413,0.822,9,-6.194,1,0.167,0.0712,0.00316,0.494,0.465,89.93,349187,4,,,
0.413,0.822,9,-6.194,1,0.167,0.0712,0.00316,0.494,0.465,89.93,349187,4,,,
0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938,176702,4,,,
0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938,176702,4,,,
0.885,0.595,7,-5.487,1,0.286,0.656,4.42e-06,0.105,0.754,148.034,183760,4,,,
0.885,0.595,7,-5.487,1,0.286,0.656,4.42e-06,0.105,0.754,148.034,183760,4,,,
0.373,0.72,1,-3.557,1,0.178,0.0379,0.000724,0.373,0.257,152.399,219429,4,,,
0.373,0.72,1,-3.557,1,0.178,0.0379,0.000724,0.373,0.257,152.399,219429,4,,,
0.529,0.565,1,-3.128,1,0.039,0.00235,0.917,0.586,0.118,82.513,269273,4,,,
0.529,0.565,1,-3.128,1,0.039,0.00235,0.917,0.586,0.118,82.513,269273,4,,,
0.303,0.922,5,-3.933,0,0.433,0.137,0.0,0.662,0.449,151.586,228782,4,0.104,0.868,0.028
0.303,0.922,5,-3.933,0,0.433,0.137,0.0,0.662,0.449,151.586,228782,4,0.104,0.868,0.028
0.523,0.539,5,-9.642,1,0.564,0.704,1.19e-05,0.0952,0.415,84.266,469831,4,,,
0.523,0.539,5,-9.642,1,0.564,0.704,1.19e-05,0.0952,0.415,84.266,469831,4,,,
0.78,0.773,10,-7.53,0,0.462,0.447,7.28e-05,0.0791,0.729,189.901,223526,4,,,
0.78,0.773,10,-7.53,0,0.462,0.447,7.28e-05,0.0791,0.729,189.901,223526,4,,,
0.722,0.441,1,-13.486,0,0.144,0.269,0.000896,0.5,0.58,140.873,159467,4,,,
0.722,0.441,1,-13.486,0,0.144,0.269,0.000896,0.5,0.58,140.873,159467,4,,,
0.877,0.572,11,-8.001,0,0.304,0.559,0.0,0.093,0.793,135.988,164118,4,,,
0.877,0.572,11,-8.001,0,0.304,0.559,0.0,0.093,0.793,135.988,164118,4,,,
0.583,0.654,2,-6.456,0,0.395,0.605,0.0,0.103,0.376,97.492,200774,5,,,
0.583,0.654,2,-6.456,0,0.395,0.605,0.0,0.103,0.376,97.492,200774,5,,,
0.677,0.567,9,-7.108,0,0.0349,0.189,0.000694,0.637,0.508,140.041,248660,4,0.028,0.78,0.193
