danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.728,0.448,8,-10.54,1,0.172,0.103,0.0,0.267,0.483,80.902,202920,4
0.728,0.448,8,-10.54,1,0.172,0.103,0.0,0.267,0.483,80.902,202920,4
0.62,0.93,8,-5.615,1,0.0486,0.0662,0.0,0.0788,0.675,126.041,206920,4
0.62,0.93,8,-5.615,1,0.0486,0.0662,0.0,0.0788,0.675,126.041,206920,4
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,4
0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,4
0.728,0.448,8,-10.54,1,0.172,0.103,0.0,0.267,0.483,80.902,202920,4
0.728,0.448,8,-10.54,1,0.172,0.103,0.0,0.267,0.483,80.902,202920,4
0.487,0.429,4,-8.716,0,0.0391,0.332,0.0,0.207,0.508,143.582,328773,4
0.487,0.429,4,-8.716,0,0.0391,0.332,0.0,0.207,0.508,143.582,328773,4
0.863,0.673,4,-6.576,0,0.1,0.258,0.00271,0.0745,0.821,115.952,237053,4
0.863,0.673,4,-6.576,0,0.1,0.258,0.00271,0.0745,0.821,115.952,237053,4
0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.274,109.959,239147,4
0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.274,109.959,239147,4
0.539,0.528,5,-6.719,1,0.0546,0.246,6.65e-05,0.221,0.456,164.024,194760,4
0.539,0.528,5,-6.719,1,0.0546,0.246,6.65e-05,0.221,0.456,164.024,194760,4
0.319,0.757,0,-6.117,0,0.0432,0.016,0.0,0.102,0.101,122.465,322173,4
0.319,0.757,0,-6.117,0,0.0432,0.016,0.0,0.102,0.101,122.465,322173,4
0.464,0.924,0,-6.022,0,0.0919,0.0218,0.0,0.105,0.373,139.442,204827,4
