track_id,playlist_id,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,neg,neu,pos,compound,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
5PnBpKOVvQxeFvXVNYSoxs,7Iw0yI71QX59zyFq0kAZTS,6/6/2023,0.418,0.794,11,-4.973,1,0.0816,0.08,0.0,0.329,0.178,129.434,5PnBpKOVvQxeFvXVNYSoxs,241846,4,0.199,0.584,0.216,0.6124,alexandria virgina,30.0,11.6,21.5,28.1,11.6,21.0,1.9,31.9,0.0,0,0.0,,0,0,16.6,13.1,348.4,1011.0,12.7,16.0,264.5,22.7,8,10,4:53:18,20:43:54,0.59,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
5PnBpKOVvQxeFvXVNYSoxs,7Iw0yI71QX59zyFq0kAZTS,6/6/2023,0.418,0.794,11,-4.973,1,0.0816,0.08,0.0,0.329,0.178,129.434,5PnBpKOVvQxeFvXVNYSoxs,241846,4,0.199,0.584,0.216,0.6124,alexandria virgina,28.2,15.4,22.3,27.2,15.4,22.2,8.4,42.5,0.0,0,0.0,,0,0,41.3,25.1,283.7,1008.3,77.8,13.4,226.7,19.5,7,10,5:43:34,20:30:31,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
7zFXmv6vqI4qOt4yGf3jYZ,7Iw0yI71QX59zyFq0kAZTS,6/12/2023,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,7zFXmv6vqI4qOt4yGf3jYZ,278180,4,0.038,0.836,0.125,0.9768,alexandria virgina,31.1,16.6,23.2,29.8,16.6,23.0,13.7,58.3,0.592,100,8.33,rain,0,0,29.5,16.5,32.8,1011.1,41.4,16.0,209.8,18.3,7,30,4:51:31,20:47:54,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
7zFXmv6vqI4qOt4yGf3jYZ,7Iw0yI71QX59zyFq0kAZTS,6/12/2023,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,7zFXmv6vqI4qOt4yGf3jYZ,278180,4,0.038,0.836,0.125,0.9768,alexandria virgina,25.9,20.0,23.7,25.9,20.0,23.7,17.6,69.0,5.364,100,20.83,rain,0,0,47.2,24.3,202.2,1005.0,86.9,15.5,101.6,8.6,3,30,5:42:41,20:33:38,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
6wOdpwaVrRtWlVSQNMBNQU,7Iw0yI71QX59zyFq0kAZTS,6/12/2023,0.424,0.606,6,-6.062,0,0.159,0.106,0.000272,0.144,0.397,213.788,6wOdpwaVrRtWlVSQNMBNQU,342244,4,,,,,alexandria virgina,31.1,16.6,23.2,29.8,16.6,23.0,13.7,58.3,0.592,100,8.33,rain,0,0,29.5,16.5,32.8,1011.1,41.4,16.0,209.8,18.3,7,30,4:51:31,20:47:54,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
6wOdpwaVrRtWlVSQNMBNQU,7Iw0yI71QX59zyFq0kAZTS,6/12/2023,0.424,0.606,6,-6.062,0,0.159,0.106,0.000272,0.144,0.397,213.788,6wOdpwaVrRtWlVSQNMBNQU,342244,4,,,,,alexandria virgina,25.9,20.0,23.7,25.9,20.0,23.7,17.6,69.0,5.364,100,20.83,rain,0,0,47.2,24.3,202.2,1005.0,86.9,15.5,101.6,8.6,3,30,5:42:41,20:33:38,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
22jnEneSABg4vRCR1vow7F,7Iw0yI71QX59zyFq0kAZTS,6/12/2023,0.688,0.425,4,-8.134,0,0.027,0.748,0.00548,0.101,0.179,129.975,22jnEneSABg4vRCR1vow7F,144000,4,,,,,alexandria virgina,31.1,16.6,23.2,29.8,16.6,23.0,13.7,58.3,0.592,100,8.33,rain,0,0,29.5,16.5,32.8,1011.1,41.4,16.0,209.8,18.3,7,30,4:51:31,20:47:54,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
22jnEneSABg4vRCR1vow7F,7Iw0yI71QX59zyFq0kAZTS,6/12/2023,0.688,0.425,4,-8.134,0,0.027,0.748,0.00548,0.101,0.179,129.975,22jnEneSABg4vRCR1vow7F,144000,4,,,,,alexandria virgina,25.9,20.0,23.7,25.9,20.0,23.7,17.6,69.0,5.364,100,20.83,rain,0,0,47.2,24.3,202.2,1005.0,86.9,15.5,101.6,8.6,3,30,5:42:41,20:33:38,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
2qw9wGBNz5dBxocELAauwy,7Iw0yI71QX59zyFq0kAZTS,6/12/2023,0.413,0.822,9,-6.194,1,0.167,0.0712,0.00316,0.494,0.465,89.93,2qw9wGBNz5dBxocELAauwy,349187,4,,,,,alexandria virgina,31.1,16.6,23.2,29.8,16.6,23.0,13.7,58.3,0.592,100,8.33,rain,0,0,29.5,16.5,32.8,1011.1,41.4,16.0,209.8,18.3,7,30,4:51:31,20:47:54,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
2qw9wGBNz5dBxocELAauwy,7Iw0yI71QX59zyFq0kAZTS,6/12/2023,0.413,0.822,9,-6.194,1,0.167,0.0712,0.00316,0.494,0.465,89.93,2qw9wGBNz5dBxocELAauwy,349187,4,,,,,alexandria virgina,25.9,20.0,23.7,25.9,20.0,23.7,17.6,69.0,5.364,100,20.83,rain,0,0,47.2,24.3,202.2,1005.0,86.9,15.5,101.6,8.6,3,30,5:42:41,20:33:38,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
15EPc80XuFrb2LmOzGjuRg,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938,15EPc80XuFrb2LmOzGjuRg,176702,4,,,,,alexandria virgina,30.7,16.4,23.3,29.5,16.4,22.9,11.8,54.0,0.0,0,0.0,,0,0,54.7,35.8,225.1,1006.7,18.5,15.5,242.8,20.9,7,30,4:51:22,20:48:26,0.84,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
15EPc80XuFrb2LmOzGjuRg,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938,15EPc80XuFrb2LmOzGjuRg,176702,4,,,,,alexandria virgina,27.0,15.5,21.8,26.6,15.5,21.8,11.5,54.2,0.0,0,0.0,,0,0,31.7,19.4,238.6,1007.3,54.0,16.0,237.1,20.5,8,10,5:42:39,20:34:05,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
564oa00vY05d1uYnTEAAmE,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.885,0.595,7,-5.487,1,0.286,0.656,4.42e-06,0.105,0.754,148.034,564oa00vY05d1uYnTEAAmE,183760,4,,,,,alexandria virgina,30.7,16.4,23.3,29.5,16.4,22.9,11.8,54.0,0.0,0,0.0,,0,0,54.7,35.8,225.1,1006.7,18.5,15.5,242.8,20.9,7,30,4:51:22,20:48:26,0.84,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
564oa00vY05d1uYnTEAAmE,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.885,0.595,7,-5.487,1,0.286,0.656,4.42e-06,0.105,0.754,148.034,564oa00vY05d1uYnTEAAmE,183760,4,,,,,alexandria virgina,27.0,15.5,21.8,26.6,15.5,21.8,11.5,54.2,0.0,0,0.0,,0,0,31.7,19.4,238.6,1007.3,54.0,16.0,237.1,20.5,8,10,5:42:39,20:34:05,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
6X2oT45uXeP6mnqN4EEj7y,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.373,0.72,1,-3.557,1,0.178,0.0379,0.000724,0.373,0.257,152.399,6X2oT45uXeP6mnqN4EEj7y,219429,4,,,,,alexandria virgina,30.7,16.4,23.3,29.5,16.4,22.9,11.8,54.0,0.0,0,0.0,,0,0,54.7,35.8,225.1,1006.7,18.5,15.5,242.8,20.9,7,30,4:51:22,20:48:26,0.84,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
6X2oT45uXeP6mnqN4EEj7y,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.373,0.72,1,-3.557,1,0.178,0.0379,0.000724,0.373,0.257,152.399,6X2oT45uXeP6mnqN4EEj7y,219429,4,,,,,alexandria virgina,27.0,15.5,21.8,26.6,15.5,21.8,11.5,54.2,0.0,0,0.0,,0,0,31.7,19.4,238.6,1007.3,54.0,16.0,237.1,20.5,8,10,5:42:39,20:34:05,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
0AUtK92LWcv3wbpv6NkhKr,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.529,0.565,1,-3.128,1,0.039,0.00235,0.917,0.586,0.118,82.513,0AUtK92LWcv3wbpv6NkhKr,269273,4,,,,,alexandria virgina,30.7,16.4,23.3,29.5,16.4,22.9,11.8,54.0,0.0,0,0.0,,0,0,54.7,35.8,225.1,1006.7,18.5,15.5,242.8,20.9,7,30,4:51:22,20:48:26,0.84,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
0AUtK92LWcv3wbpv6NkhKr,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.529,0.565,1,-3.128,1,0.039,0.00235,0.917,0.586,0.118,82.513,0AUtK92LWcv3wbpv6NkhKr,269273,4,,,,,alexandria virgina,27.0,15.5,21.8,26.6,15.5,21.8,11.5,54.2,0.0,0,0.0,,0,0,31.7,19.4,238.6,1007.3,54.0,16.0,237.1,20.5,8,10,5:42:39,20:34:05,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
6dxm3Z8U4lOJTWo6cGVDCR,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.303,0.922,5,-3.933,0,0.433,0.137,0.0,0.662,0.449,151.586,6dxm3Z8U4lOJTWo6cGVDCR,228782,4,0.104,0.868,0.028,-0.9846,alexandria virgina,30.7,16.4,23.3,29.5,16.4,22.9,11.8,54.0,0.0,0,0.0,,0,0,54.7,35.8,225.1,1006.7,18.5,15.5,242.8,20.9,7,30,4:51:22,20:48:26,0.84,Clear,Clear conditions throughout the day.,clear-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
6dxm3Z8U4lOJTWo6cGVDCR,7Iw0yI71QX59zyFq0kAZTS,6/13/2023,0.303,0.922,5,-3.933,0,0.433,0.137,0.0,0.662,0.449,151.586,6dxm3Z8U4lOJTWo6cGVDCR,228782,4,0.104,0.868,0.028,-0.9846,alexandria virgina,27.0,15.5,21.8,26.6,15.5,21.8,11.5,54.2,0.0,0,0.0,,0,0,31.7,19.4,238.6,1007.3,54.0,16.0,237.1,20.5,8,10,5:42:39,20:34:05,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,72403793728,F1598,KADW,KDAA,74594013705"
3Zau3JcrZcBfw8aVjKGkSX,7Iw0yI71QX59zyFq0kAZTS,6/15/2023,0.523,0.539,5,-9.642,1,0.564,0.704,1.19e-05,0.0952,0.415,84.266,3Zau3JcrZcBfw8aVjKGkSX,469831,4,,,,,alexandria virgina,22.3,11.6,16.8,22.3,11.6,16.8,6.8,54.1,0.0,0,0.0,,0,0,16.6,13.6,212.7,1016.0,53.4,15.3,207.5,17.7,6,10,4:51:12,20:49:24,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4353,TWRW1,72785524114,72785694176,72785024157,KSFF,KGEG,KSKA"
3Zau3JcrZcBfw8aVjKGkSX,7Iw0yI71QX59zyFq0kAZTS,6/15/2023,0.523,0.539,5,-9.642,1,0.564,0.704,1.19e-05,0.0952,0.415,84.266,3Zau3JcrZcBfw8aVjKGkSX,469831,4,,,,,alexandria virgina,28.7,17.0,22.8,27.4,17.0,22.6,9.1,44.1,0.0,0,0.0,,0,0,37.1,21.0,299.0,1006.2,42.5,15.9,357.6,30.8,10,10,5:42:40,20:34:53,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,72403793728,KADW,KDAA,74594013705"
