track_id,playlist_id,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,neg,neu,pos,compound
67sypabMU2RWSINGPRT5mV,07zqCIPCroFMKSajvERGvE,8/2/2022,0.559,0.589,6,-7.27,1,0.0297,0.149,1.20E-05,0.328,0.869,86.543,67sypabMU2RWSINGPRT5mV,170273,3,0.09,0.646,0.265,0.9952
0rMGFZarxz3rnyt68cHfm6,07zqCIPCroFMKSajvERGvE,8/7/2022,0.43,0.0772,0,-11.7,1,0.0309,0.928,0.000287,0.112,0.137,73.607,0rMGFZarxz3rnyt68cHfm6,226551,3,0.118,0.851,0.032,-0.9056
0nPlbGi675iDCppDNjpl6e,07zqCIPCroFMKSajvERGvE,8/13/2022,0.322,0.182,5,-19.308,1,0.0385,0.938,0.915,0.112,0.0694,66.043,0nPlbGi675iDCppDNjpl6e,211168,3,,,,
1QMwFv4b7IPbzLTfbp1nPt,07zqCIPCroFMKSajvERGvE,8/20/2022,0.382,0.912,4,-6.023,1,0.0467,9.53E-05,3.44E-06,0.329,0.959,169.426,1QMwFv4b7IPbzLTfbp1nPt,118038,4,,,,
5nyUqodtLIP5Ncuv2hc10k,07zqCIPCroFMKSajvERGvE,8/24/2022,0.275,0.157,2,-20.127,1,0.035,0.989,0.903,0.0789,0.0614,80.477,5nyUqodtLIP5Ncuv2hc10k,273717,4,,,,
6llpUv4y59Kd5ZqQ2gugbb,07zqCIPCroFMKSajvERGvE,8/29/2022,0.615,0.81,9,-5.008,1,0.0582,0.0374,0.00203,0.233,0.769,135.011,6llpUv4y59Kd5ZqQ2gugbb,236960,4,,,,
5WXPowQPGcyhFY5IYOWTuL,30PgYnoeT2PAgFNuYLR5qd,9/14/2022,0.399,0.909,7,-3.958,1,0.0854,0.00997,0.00145,0.132,0.421,144.836,5WXPowQPGcyhFY5IYOWTuL,190373,4,,,,
2OUMNIty0ZNqa185mVRehF,30PgYnoeT2PAgFNuYLR5qd,9/25/2022,0.413,0.149,3,-15.895,0,0.035,0.995,0.92,0.108,0.104,67.546,2OUMNIty0ZNqa185mVRehF,209026,4,0.144,0.734,0.122,-0.4604
6m8Z99khlusHMbGEBWNHDB,30PgYnoeT2PAgFNuYLR5qd,9/29/2022,0.801,0.0485,5,-12.151,1,0.0554,0.994,0.000121,0.112,0.494,84.526,6m8Z99khlusHMbGEBWNHDB,199733,4,,,,
53zrZribB4xc2uRzZXWKCT,30PgYnoeT2PAgFNuYLR5qd,9/29/2022,0.252,0.00676,4,-31.909,1,0.0358,0.991,0.955,0.062,0.0897,109.115,53zrZribB4xc2uRzZXWKCT,273413,3,,,,
0Kq4d28miHoPhBbxCIkNyj,30PgYnoeT2PAgFNuYLR5qd,9/29/2022,0.109,0.0446,7,-24.469,1,0.0421,0.973,0.469,0.0664,0.0478,64.735,0Kq4d28miHoPhBbxCIkNyj,253213,4,,,,
47HyqYe5m6Xca2A0WHJGiX,1vS1nakUrLYkTd3W0yRMYe,10/3/2022,0.207,0.0342,4,-23.974,1,0.042,0.947,0.0105,0.136,0.0373,78.872,47HyqYe5m6Xca2A0WHJGiX,134467,3,,,,
0Kq4d28miHoPhBbxCIkNyj,1vS1nakUrLYkTd3W0yRMYe,10/3/2022,0.109,0.0446,7,-24.469,1,0.0421,0.973,0.469,0.0664,0.0478,64.735,0Kq4d28miHoPhBbxCIkNyj,253213,4,,,,
0zMQko90wrtkfmVMiBzo3A,1vS1nakUrLYkTd3W0yRMYe,10/3/2022,0.716,0.671,10,-6.633,1,0.0454,0.0793,1.06E-05,0.132,0.857,134.929,0zMQko90wrtkfmVMiBzo3A,118667,4,,,,
2CfZC77nQV8hV94oLdTUaF,1vS1nakUrLYkTd3W0yRMYe,10/3/2022,0.709,0.603,5,-5.26,1,0.0364,0.379,4.71E-05,0.111,0.525,126.174,2CfZC77nQV8hV94oLdTUaF,185019,4,,,,
