playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
...Like Clockwork,Queens of the Stone Age,I Sat by the Ocean,spotify:track:1D3YGmST01Ba0WRiT7THPG,The Knew
¡DOS!,Green Day,Stray Heart,spotify:track:2Q22sa3Y4lKXHHBBAxEhYY,Missing Her
¡DOS!,Green Day,Stray Heart,spotify:track:2Q22sa3Y4lKXHHBBAxEhYY,Perfect Playlist Pt 2
¡UNO!,Green Day,Nuclear Family,spotify:track:206n37mZTmloL45RYhmMlP,Missing Her
¡UNO!,Green Day,Nuclear Family,spotify:track:206n37mZTmloL45RYhmMlP,Rock Paper Scissors
“99”,Barns Courtney,Good Thing,spotify:track:35SVRaDt0IKWBPQdR0xREa,Missing Her
“99”,Barns Courtney,Good Thing,spotify:track:35SVRaDt0IKWBPQdR0xREa,The Knew
÷,Ed Sheeran,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Missing Her
100th Window,Massive Attack,A Prayer For England,spotify:track:62RHWsSdkQqU389pDtL0Bp,Perfect Playlist Pt 2
100th Window,Massive Attack,A Prayer For England,spotify:track:62RHWsSdkQqU389pDtL0Bp,Rock Paper Scissors
13 Voices,Sum 41,War,spotify:track:23Vf9hNoBN8AacpUUHbiRy,The Knew
21st Century Breakdown,Green Day,¿Viva La Gloria? (Little Girl),spotify:track:2mnk1GHN0XmznKiucY4ZW4,Perfect Playlist Pt 2
3,half•alive,Tip Toes,spotify:track:7DwaOIkZk8qLJKGX7XTF2l,Perfect Playlist Pt 2
5,Lenny Kravitz,Fly Away,spotify:track:1OxcIUqVmVYxT6427tbhDW,Rock Paper Scissors
a modern tragedy vol. 1,grandson,Blood // Water,spotify:track:7clyJIrLkEbXUDwj1tC9zz,The Knew
A/B,KALEO,All the Pretty Girls,spotify:track:0QQIhT6PtJ5glyn4HKNKQ6,The Knew
A/B,KALEO,Glass House,spotify:track:3HtCaD8SkNbjy3TrEcS4Km,The Knew
A/B,KALEO,Hot Blood,spotify:track:7d9sZF7jmepe2EYdETlNWK,The Knew
A/B,KALEO,No Good,spotify:track:0Tr5G2mE56eLUGvCaXRM8I,The Knew
A/B,KALEO,Way down We Go,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,The Knew
ABBA Gold,ABBA,Dancing Queen,spotify:track:2ATDkfqprlNNe9mYWodgdc,I Will Survive
Abbey Road,The Beatles,Come Together - Remastered 2009,spotify:track:2EqlS6tkEnglzr7tkKAAYD,I Will Survive
Abbey Road,The Beatles,Come Together - Remastered 2009,spotify:track:2EqlS6tkEnglzr7tkKAAYD,Rock Paper Scissors
Ace of Spades,Motörhead,Ace of Spades,spotify:track:6EPRKhUOdiFSQwGBRBbvsZ,Rock Paper Scissors
Aerosmith,Aerosmith,Dream On,spotify:track:5MxNLUsfh7uzROypsoO5qe,Rock Paper Scissors
After Laughter,Paramore,Hard Times,spotify:track:0w5Bdu51Ka25Pf3hojsKHh,The Knew
After Midnight,Matthew P. Woerner,After Midnight,spotify:track:6dNSTCWVQHZp33LYB9P7Do,After Midnight
Aftermath,The Rolling Stones,"Paint It, Black",spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"1 or 11? Its Aces, Charles!"
Aftermath,The Rolling Stones,"Paint It, Black",spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,Missing Her
Aftermath,The Rolling Stones,"Paint It, Black",spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,Rock Paper Scissors
Agents Of Fortune,Blue Öyster Cult,(Don't Fear) The Reaper,spotify:track:5QTxFnGygVM4jFQiBovmRo,I Will Survive
Agents Of Fortune,Blue Öyster Cult,(Don't Fear) The Reaper,spotify:track:5QTxFnGygVM4jFQiBovmRo,Rock Paper Scissors
Aim and Ignite,fun.,The Gambler,spotify:track:4Nkn6En6TiZQRuTpEDPOYs,Missing Her
Alive,Tim McMorris,Life Is Beautiful,spotify:track:1EW4h99weO0iXZgjrSyDBi,"1 or 11? Its Aces, Charles!"
Alive,Tim McMorris,Life Is Beautiful,spotify:track:1EW4h99weO0iXZgjrSyDBi,The Knew
All My Demons Greeting Me as a Friend,AURORA,Half the World Away,spotify:track:0sN0KsgEU0RxNsGJ0zOGor,Missing Her
All My Demons Greeting Me as a Friend,AURORA,"Murder Song (5, 4, 3, 2, 1) - Acoustic",spotify:track:7emYgNINPGksV9INAKsjSj,"1 or 11? Its Aces, Charles!"
All My Demons Greeting Me as a Friend,AURORA,"Murder Song (5, 4, 3, 2, 1) - Acoustic",spotify:track:7emYgNINPGksV9INAKsjSj,Missing Her
All My Demons Greeting Me as a Friend,AURORA,Running with the Wolves,spotify:track:6qMMJiCtrlHmxGyFUStff8,Missing Her
All My Demons Greeting Me as a Friend,AURORA,Warrior,spotify:track:597qlcmqAPi6cNRNIg4cQv,Missing Her
All The Time In The World,Lazlo Bane,Superman,spotify:track:19nAFg6Mb6jXN3yxPC2sSk,"1 or 11? Its Aces, Charles!"
AM,Arctic Monkeys,Do I Wanna Know?,spotify:track:5FVd6KXrgO9B3JPmC8OPst,Me and michael
AM,Arctic Monkeys,Do I Wanna Know?,spotify:track:5FVd6KXrgO9B3JPmC8OPst,Perfect Playlist Pt 2
AM,Arctic Monkeys,Do I Wanna Know?,spotify:track:5FVd6KXrgO9B3JPmC8OPst,The Knew
AM,Arctic Monkeys,R U Mine?,spotify:track:2AT8iROs4FQueDv2c8q2KE,The Knew
AMERICA,Thirty Seconds To Mars,Walk On Water,spotify:track:6FT9FZccFD6nE8dMNslz2n,The Knew
American Beauty/American Psycho,Fall Out Boy,Centuries,spotify:track:04aAxqtGp5pv12UXAg4pkq,HOmeWorK BANgers
American Beauty/American Psycho,Fall Out Boy,Centuries,spotify:track:04aAxqtGp5pv12UXAg4pkq,The Knew
American Hi-Fi,American Hi-Fi,Flavor Of The Weak,spotify:track:1UkMAtLU8NxsddE7j4zXGO,Missing Her
American Idiot,Green Day,American Idiot,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,Me and michael
American Idiot,Green Day,Holiday / Boulevard of Broken Dreams,spotify:track:0MsrWnxQZxPAcov7c74sSo,Me and michael
American Pie,Don McLean,American Pie,spotify:track:1fDsrQ23eTAVFElUMaf38X,HOmeWorK BANgers
American Pie,Don McLean,American Pie,spotify:track:1fDsrQ23eTAVFElUMaf38X,I Will Survive
Americana,The Offspring,The Kids Aren't Alright,spotify:track:4EchqUKQ3qAQuRNKmeIpnf,I Will Survive
An Innocent Man,Billy Joel,The Longest Time,spotify:track:5DH7nDryMhpixm4G4B7RP9,Missing Her
An Innocent Man,Billy Joel,The Longest Time,spotify:track:5DH7nDryMhpixm4G4B7RP9,The Knew
Angles,The Strokes,Under Cover of Darkness,spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,The Knew
Anthology,Alien Ant Farm,Smooth Criminal,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,I Will Survive
Anthology,Alien Ant Farm,Smooth Criminal,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,Rock Paper Scissors
Appetite For Destruction,Guns N' Roses,Sweet Child O' Mine,spotify:track:7o2CTH4ctstm8TNelqjb51,Rock Paper Scissors
Appetite For Destruction,Guns N' Roses,Sweet Child O' Mine,spotify:track:7snQQk1zcKl8gZ92AnueZW,I Will Survive
Appetite For Destruction,Guns N' Roses,Welcome To The Jungle,spotify:track:0G21yYKMZoHa30cYVi1iA8,I Will Survive
Are We Not Men? We Are Diva!,Me First and the Gimme Gimmes,I Will Survive,spotify:track:5hpyKjTtr5HsvdgLatWzJt,I Will Survive
As You Were,Liam Gallagher,Wall of Glass,spotify:track:5qlSYa5PePLAuAsAFgqVxW,The Knew
ATLAS,The Score,Legend,spotify:track:3SWqGa1J0M7hSBUDM0KePD,The Knew
ATLAS,The Score,Miracle,spotify:track:6A6PDawvZIfnJHW40sBHzz,The Knew
ATLAS,The Score,Never Going Back,spotify:track:5k02Wjsu2MdpF3c9VFQD0k,The Knew
ATLAS,The Score,Oh My Love,spotify:track:4Q99wmrzQFtK3oweyLkWij,Missing Her
ATLAS,The Score,Only One,spotify:track:7La6wwwBcYGqml4BOoZlta,The Knew
ATLAS,The Score,Revolution,spotify:track:7Fv8Qp3tTSbSS2VjryUF7L,The Knew
ATLAS,The Score,Unstoppable,spotify:track:6rrKbzJGGDlSZgLphopS49,The Knew
