artistName,Year,Month,Day,time,Sum of msPlayed,trackName
"""Weird Al"" Yankovic",2023,June,22,1899-12-30 02:00:00,202920,"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)"
"""Weird Al"" Yankovic",2023,July,29,1899-12-30 01:10:00,328773,"The Saga Begins (Lyrical Adaption of ""American Pie"")"
"""Weird Al"" Yankovic",2023,July,29,1899-12-30 02:38:00,202920,"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)"
...And You Will Know Us by the Trail of Dead,2023,July,23,1899-12-30 01:33:00,325600,Wasted State Of Mind
...And You Will Know Us by the Trail of Dead,2023,August,21,1899-12-30 03:10:00,25550,Wasted State Of Mind
...And You Will Know Us by the Trail of Dead,2023,September,2,1899-12-30 23:41:00,325600,Wasted State Of Mind
...And You Will Know Us by the Trail of Dead,2023,September,3,1899-12-30 07:29:00,325600,Wasted State Of Mind
...And You Will Know Us by the Trail of Dead,2023,September,13,1899-12-30 07:35:00,245541,Wasted State Of Mind
...And You Will Know Us by the Trail of Dead,2023,September,13,1899-12-30 22:15:00,325600,Wasted State Of Mind
...And You Will Know Us by the Trail of Dead,2023,September,15,1899-12-30 00:09:00,325600,Wasted State Of Mind
'+44,2023,June,24,1899-12-30 19:40:00,192786,When Your Heart Stops Beating
'+44,2023,August,19,1899-12-30 02:54:00,192786,When Your Heart Stops Beating
3 Doors Down,2023,July,26,1899-12-30 20:21:00,233933,Kryptonite
5 Seconds of Summer,2023,July,19,1899-12-30 21:46:00,202496,She Looks So Perfect
A Great Big World,2023,June,17,1899-12-30 01:21:00,229320,Kaleidoscope
A Great Big World,2023,June,17,1899-12-30 15:07:00,229320,Kaleidoscope
A Great Big World,2023,June,18,1899-12-30 23:31:00,229320,Kaleidoscope
A Great Big World,2023,June,23,1899-12-30 10:55:00,229320,Kaleidoscope
A Great Big World,2023,June,27,1899-12-30 19:36:00,229320,Kaleidoscope
A Great Big World,2023,June,28,1899-12-30 11:05:00,229320,Kaleidoscope
A Great Big World,2023,June,29,1899-12-30 02:56:00,229320,Kaleidoscope
A Great Big World,2023,June,29,1899-12-30 05:47:00,229320,Kaleidoscope
A Great Big World,2023,June,30,1899-12-30 02:25:00,229320,Kaleidoscope
A Great Big World,2023,June,30,1899-12-30 19:39:00,229320,Kaleidoscope
A Great Big World,2023,July,1,1899-12-30 18:37:00,229320,Kaleidoscope
A Great Big World,2023,July,2,1899-12-30 13:33:00,229320,Kaleidoscope
A Great Big World,2023,July,6,1899-12-30 04:21:00,229320,Kaleidoscope
A Great Big World,2023,July,7,1899-12-30 01:47:00,229320,Kaleidoscope
A Great Big World,2023,July,7,1899-12-30 20:40:00,229320,Kaleidoscope
A Great Big World,2023,July,9,1899-12-30 14:57:00,229320,Kaleidoscope
A Great Big World,2023,July,9,1899-12-30 15:44:00,229320,Kaleidoscope
A Great Big World,2023,July,11,1899-12-30 03:21:00,229320,Kaleidoscope
A Great Big World,2023,July,12,1899-12-30 10:27:00,229320,Kaleidoscope
A Great Big World,2023,July,15,1899-12-30 19:39:00,229320,Kaleidoscope
A Great Big World,2023,July,16,1899-12-30 00:46:00,229320,Kaleidoscope
A Great Big World,2023,July,16,1899-12-30 07:55:00,229320,Kaleidoscope
A Great Big World,2023,July,16,1899-12-30 21:27:00,229320,Kaleidoscope
A Great Big World,2023,July,17,1899-12-30 21:26:00,229320,Kaleidoscope
A Great Big World,2023,July,19,1899-12-30 01:16:00,229320,Kaleidoscope
A Great Big World,2023,July,19,1899-12-30 03:33:00,229320,Kaleidoscope
A Great Big World,2023,July,20,1899-12-30 02:21:00,229320,Kaleidoscope
A Great Big World,2023,July,20,1899-12-30 03:47:00,229320,Kaleidoscope
A Great Big World,2023,July,21,1899-12-30 04:20:00,229320,Kaleidoscope
A Great Big World,2023,July,23,1899-12-30 08:07:00,229320,Kaleidoscope
A Great Big World,2023,July,23,1899-12-30 17:07:00,25900,Kaleidoscope
A Great Big World,2023,July,27,1899-12-30 01:31:00,229320,Kaleidoscope
A Great Big World,2023,August,1,1899-12-30 21:58:00,85656,Kaleidoscope
A Great Big World,2023,August,2,1899-12-30 01:47:00,229320,Kaleidoscope
A Great Big World,2023,August,2,1899-12-30 03:16:00,229320,Kaleidoscope
A Great Big World,2023,August,5,1899-12-30 08:40:00,229320,Kaleidoscope
A Great Big World,2023,August,6,1899-12-30 21:43:00,229320,Kaleidoscope
A Great Big World,2023,August,10,1899-12-30 01:16:00,229320,Kaleidoscope
A Great Big World,2023,August,25,1899-12-30 04:16:00,229320,Kaleidoscope
A Great Big World,2023,September,2,1899-12-30 19:52:00,229320,Kaleidoscope
A Great Big World,2023,September,3,1899-12-30 00:28:00,229400,Say Something
A Great Big World,2023,September,14,1899-12-30 23:01:00,229320,Kaleidoscope
A Great Big World,2023,September,15,1899-12-30 01:58:00,229400,Say Something
A Great Big World,2023,September,16,1899-12-30 22:21:00,229320,Kaleidoscope
A Perfect Circle,2023,July,24,1899-12-30 00:16:00,247266,Judith
A.C. Newman,2023,June,7,1899-12-30 11:35:00,178786,Prophets
A.C. Newman,2023,June,9,1899-12-30 05:05:00,178786,Prophets
A.C. Newman,2023,June,10,1899-12-30 15:23:00,178786,Prophets
A.C. Newman,2023,June,14,1899-12-30 03:45:00,178786,Prophets
A.C. Newman,2023,June,16,1899-12-30 21:56:00,178786,Prophets
A.C. Newman,2023,June,18,1899-12-30 03:20:00,178786,Prophets
A.C. Newman,2023,August,25,1899-12-30 23:14:00,178786,Prophets
Abtmelody,2023,July,29,1899-12-30 21:06:00,230504,Screw the Nether
AC/DC,2023,July,23,1899-12-30 01:28:00,214666,T.N.T.
AC/DC,2023,July,23,1899-12-30 05:22:00,255493,Back In Black
AC/DC,2023,July,23,1899-12-30 23:06:00,214666,T.N.T.
AC/DC,2023,July,24,1899-12-30 00:22:00,208400,Highway to Hell
AC/DC,2023,August,11,1899-12-30 00:51:00,214666,T.N.T.
AC/DC,2023,August,11,1899-12-30 22:02:00,292880,Thunderstruck
AC/DC,2023,August,12,1899-12-30 01:23:00,88038,You Shook Me All Night Long
AC/DC,2023,August,12,1899-12-30 16:41:00,183053,Rock or Bust
AC/DC,2023,August,20,1899-12-30 01:20:00,214666,T.N.T.
AC/DC,2023,August,21,1899-12-30 02:49:00,255493,Back In Black
AC/DC,2023,August,21,1899-12-30 03:05:00,1190,Shoot to Thrill
AC/DC,2023,August,31,1899-12-30 04:15:00,292880,Thunderstruck
AC/DC,2023,August,31,1899-12-30 14:17:00,292880,Thunderstruck
AC/DC,2023,August,31,1899-12-30 17:52:00,183053,Rock or Bust
AC/DC,2023,August,31,1899-12-30 18:54:00,317426,Shoot to Thrill
AC/DC,2023,August,31,1899-12-30 20:51:00,4960,T.N.T.
AC/DC,2023,September,2,1899-12-30 19:14:00,210173,You Shook Me All Night Long
AC/DC,2023,September,4,1899-12-30 01:03:00,208400,Highway to Hell
AC/DC,2023,September,4,1899-12-30 18:45:00,214666,T.N.T.
AC/DC,2023,September,4,1899-12-30 19:08:00,183053,Rock or Bust
AC/DC,2023,September,5,1899-12-30 23:09:00,183053,Rock or Bust
AC/DC,2023,September,6,1899-12-30 22:36:00,255493,Back In Black
AC/DC,2023,September,7,1899-12-30 02:42:00,292880,Thunderstruck
AC/DC,2023,September,7,1899-12-30 05:49:00,214666,T.N.T.
AC/DC,2023,September,7,1899-12-30 06:50:00,317426,Shoot to Thrill
AC/DC,2023,September,7,1899-12-30 15:24:00,255493,Back In Black
AC/DC,2023,September,7,1899-12-30 15:53:00,317426,Shoot to Thrill
AC/DC,2023,September,7,1899-12-30 23:32:00,214666,T.N.T.
AC/DC,2023,September,8,1899-12-30 15:09:00,4435,Thunderstruck
